ESTRUCTURA BDD MEDIOS/PROGRAMAS																	
Datos generales del medio											Datos genericos de contacto1						
NOMBRE	WEB	TIPO DE MEDIO	PERIODICIDAD	ÁMBITO	SECTOR1	SECTOR2	SECTOR3	SECTOR4	SECTOR5	EMPRESA	DESCRIPCIÓN	DIRECCIÓN	CP	PROVINCIA	CIUDAD	TEL. FIJO	TELF. MOBIL
100x100 REGATA		Redactor/a jefe/a										Consell de Cent, 398, bajos	8009	Barcelona	Barcelona		933 180 101
20 MINUTOS		Prensa diaria								Grupo 20 minutos		Plaça de la Universitat 3, Planta 7	8007	Barcelona	Barcelona	93 470 62 55	93 470 62 50 
2MORROW.IT		Internet medio digital								2morrow.it							+39 02 20.24.22.15
30 MINUTS (TV3)		TV								Televisió de Catalunya, S.A. 		Carrer de Jacint Verdaguer 0	8970	Barcelona	Barcelona		93 499 93 33
8 AL DIA (8TV)		TV								Emissions Digitals de Catalunya S.A.U.		Edifici Imagina, Carrer Gaspar Fàbregas 81	8950	Barcelona	Esplugues de Llobregat	93 270 47 93	93 270 47 00 
A ESCENA (BTV)		TV								Informació i Comunicació de Barcelona S.A. (ICB)		Plaça Tísner 1	8018	Barcelona	Barcelona		93 218 46 48 - 93 506 42 00
A TU SALUD (La Razón)		Suplementos								AUDIOVISUAL ESPAÑOLA 2000 S.A.		Josefa Valcarcel, 42	28027	Madrid	Madrid		91 324 70 34
A3 BAU		Revista profesional								a3 Wirtschaftsverlag GmbH		Wiener Straße 2/1/Top 6	2340	Austria	Mödling		0043 22 36 42 52 836
A3 BOOM		Revista profesional								a3 Wirtschaftsverlag GmbH		Wiener Straße 2/1/Top 6	2340	Austria	Mödling		0043 22 36 42 52 849
A3 ECO		Revista profesional								a3 Wirtschaftsverlag GmbH		Wiener Straße 2/1/Top 6	2340	Austria	Mödling		0043 22 36 42 52 841
A3 GAST		Revista profesional								a3 Wirtschaftsverlag GmbH		Wiener Straße 2/1/Top 6	2340	Austria	Mödling		0043 22 36 42 52 834
A3 VERLAG		Revista profesional								a3 Wirtschaftsverlag GmbH		Wiener Straße 2/1/Top 6	2340	Austria	Mödling		0043 22 36 42 52 80
ABC		Prensa diaria								DIARIO ABC, S.L.		Travessera de Gràcia 56. 2ª Planta	8006	Barcelona	Barcelona		93 272 16 20
ABC		Prensa diaria								DIARIO ABC, S.L.		 Juan Ignacio Luca de Tena, 7	28007	Madrid	Madrid		91 339 90 00
ABoatTime & BoatGrid		Revista												Madrid	Madrid		91 702 55 30
ABOUT TIME MAGAZINE		Revista								TCB Publishing (Pty) Ltd		343 Lynnwood Road	81	Sudáfrica	Lynnwood		0027 12 425 5800
ACCESS ALL AREAS		Revista profesional								Mash Media Group Ltd		4th Floor Sterling House 6-10, St George's Road, Wimbledon	SW19 4DP	Reino Unido	London		0044 20 7772 8444
ACTUAL BEBÉ		Revista			Director/a					TPI Grupo		Avda. Manoteras, 26 3ª planta	28050	Madrid	Madrid		913398626
ACTUALIDAD ECONÓMICA		Revista			Director/a adjunto/a					Unidad Editorial Revistas SLU						91 623 06 96	91 443 62 54
AFP		Agen			Redactor/a					AFP		Calle Sant Pau 119, Piso principal 2ª, Oficina 10	8001	Barcelona	Barcelona		93 384 37 27 - 93 443 60 92
Agència Catalana de Notícies (ACN)		Blog			Redacción					2012 Intracatalonia S.A.		Gran Via Jaume I, 64, 2n	17001	Girona	Girona		
Agència Catalana de Notícies (ACN)		Agencia de noticias			Redactor/a					2012 Intracatalonia S.A.		Via Laietana 33, 3º 1ª	8003	Barcelona	Barcelona		93 553 14 00
AGENCIA HISPANOAMERICANA		Agencia de noticias			Redactor/a Web												
AGENTTRAVEL		Revista profesional			Redactor/a jefe/a									Madrid	Madrid		91 474 11 40
AHGZ		Revista profesional			Redactor/a					Matthaes Verlag GmbH		Silberburgstraße 122	D-70176	Alemania	Stuttgart		0049 71 12 13 33 22
AIPC		Revista profesional			Secretario/a de redacción					AIPC		Marianne de Raay	1060	Bélgica	Brussels		0032 496 23 53 27
AIR CLASSE		Revista profesional			Director /a									Madrid	Madrid		91 504 55 12
AIR FRANCE MAGAZINE		Revista			Product Manager					Air France		10 Rue Thierry-Le Luron 	92300	Francia	Levallois Perret		0033 1 41 34 85 71
AIR MANDALAY		Revista			Departamento de Marketing					Air Mandalay		146, Dhammazedi Road, Bahan Township	-	Myanmar	Yangon		0095.1 525 488
AIR NEW ZEALAND MAGAZINE		Revista			Redacción					Bauer Media Group		Level 4, 100 Beaumont Street, Westhaven	-	New Zealand	Auckland		+64 (0) 9 308 2700
AIRE LIBRE		Revista			Redactor/a					OUTSIDE Comunicación Integral   		Saavedra Fajardo, 5 y 7 - planta calle	28011	Madrid	Madrid		91 526 80 80
AIRE LIBRE Y TECNOLOGIA		Revista			Administrador									Madrid	Madrid		
AIRTRAN MAGAZINE		Revista			Redactor/a jefe/a					AirTran Airways		68 Jay Street, Suite 315, Brooklyn	11201	USA	New York		888 864 1732 - 347 294 1220
AKTIV REISEN		Revista profesional			Redacción					Aktiv Reisen GmbH		Forchheimer Str. 14	91346	Alemania	Muggendorf		0049 91 96 99 85 66
ALADIERNO		Revista			Director /a							Paseo de aragón, 96	46120	Alboraya	Valencia		96 361 53 71
ALIMARKET		Revista profesional			Redactor/a					Publicaciones Alimarket, S.A.		 Valentín Beato, 22-3ª planta	28037	Madrid	Madrid		913274340
ALIMENTACIÓN, EQUIPOS Y TECNOLOGIA		Revista técnica			Director /a												944285600
ALIMENTARIA		Revista técnica			Redactor/a jefe/a												914469659/01
ALTA DIRECCIÓN		Revista			Redacción					Alta Dirección, S.A.		Avda. Infanta Carlota, 123, 6.º A, 5.ª	8029	Barcelona	Barcelona		934 109 619
ALTA GAMA		Revista			Redactor/a					Editorial Grupo V		Valportillo Primera, nº 11	28108	Madrid	Alcobendas	91 662 21 37	91 141 69 14
ALTAÏR		Revista			Director /a									Barcelona	Barcelona		934989514
AMERICAN WAY MAGAZINE		Revista			Redacción					American Way		4333 Amon Carter Blvd., MD 5374 Fort Worth	TX 76155	USA	Texas		(817) 967-1784
ANAT (ROMANIAN ASSOCIATION OF TRAVEL AGENTS)		Revista profesional			Presidente					National Association of Romanian Travel Agency		North Orbital Road. 59 et. 4 ap 401, sector 1, code 013 934	-	Rumanía	Bucarest		021 321 19 08
ANDALUCIA GOLF - ESPAÑA GOLF		Revista			Director /a												952828976
AR		Revista			Coordinador/a de redacción					Hearst Magazines S.L.		Gran Via de les Corts Catalanes 133, 3ª Planta	8014	Barcelona	Barcelona	93 430 80 05	93 430 10 04
AR.ES		Internet medio digital			Redactor/a					Hearst Magazines S.L.		 Lezama, 16	28034	Madrid	Madrid		91 728 87 00
ARA		Prensa diaria			Corresponsal					Edició de Premsa Periòdica Ara, SL				Girona	Girona		
ARA CIÈNCIA		Suplementos			Freelance					Edició de Premsa Periòdica Ara, SL		Diputació, 119	8015	Barcelona	Barcelona		93 202 95 95
ARA CRIATURES		Suplementos			Redactor/a jefe/a					Edició de Premsa Periòdica Ara, SL		Diputació, 119	8015	Barcelona	Barcelona		932029595
